n,steps
1,7.0
2,14.3
3,24.9
4,38.5
5,56.0
6,76.9
7,100.1
8,127.9
9,159.8
10,192.7
11,230.4
12,274.5
13,312.5
14,362.1
15,408.4
16,464.4
17,528.7
18,586.3
19,649.4
20,717.9
21,784.3
22,865.7
23,936.4
24,1009.0
25,1113.6
26,1187.0
27,1293.1
28,1386.8
29,1459.3
30,1586.8
31,1685.0
32,1790.0
33,1884.3
34,1995.4
35,2118.1
36,2246.5
37,2371.5
38,2501.6
39,2628.8
40,2757.0
41,2883.7
42,3037.6
43,3146.0
44,3327.2
45,3501.9
46,3621.0
47,3780.2
48,3945.1
49,4126.5
50,4301.8
51,4462.8
52,4630.2
53,4813.1
54,4993.6
55,5167.9
56,5324.3
57,5553.8
58,5763.6
59,5960.0
60,6143.8
61,6364.7
62,6559.1
63,6823.1
64,6998.5
65,7207.8
66,7371.7
67,7687.6
68,7853.5
69,8123.7
70,8320.0
71,8567.8
72,8752.6
73,9012.5
74,9345.3
75,9574.3
76,9822.5
77,10076.0
78,10322.6
79,10493.3
80,10876.2
81,11135.6
82,11425.1
83,11591.5
84,11977.5
85,12336.3
86,12553.5
87,12817.6
88,13027.4
89,13408.2
90,13656.6
91,14011.3
92,14314.3
93,14630.1
94,14929.4
95,15255.6
96,15617.0
97,15908.5
98,16242.2
99,16462.9
100,16886.4
101,17236.5
102,17609.1
103,18045.3
104,18269.7
105,18551.7
106,18953.6
107,19306.4
108,19704.9
109,20133.9
110,20404.9
111,20754.4
112,21206.2
113,21536.1
114,21976.7
115,22273.0
116,22678.3
117,23071.1
118,23412.0
119,23872.6
120,24324.5
121,24613.5
122,25170.3
123,25560.2
124,25947.8
125,26340.8
126,26716.8
127,27167.5
128,27522.7
129,28121.6
130,28531.4
131,28809.2
132,29522.3
133,29913.1
134,30295.7
135,30655.7
136,31072.2
137,31701.7
138,31948.3
139,32567.9
140,32927.6
141,33544.8
142,33931.0
143,34445.5
144,34866.5
145,35364.4
146,35745.9
147,36154.2
148,36692.5
149,37417.2
150,37850.8
151,38355.4
152,38627.8
153,39359.7
154,39923.9
155,40457.6
156,40878.3
157,41487.6
158,41949.7
159,42362.0
160,43083.3
161,43569.3
162,44261.5
163,44575.2
164,45129.0
165,45831.0
166,46228.1
167,46624.2
168,47448.9
169,47937.5
170,48461.1
171,49085.3
172,49890.6
173,50274.9
174,50952.4
175,51546.6
176,52134.3
177,52470.0
178,53380.8
179,53640.2
180,54447.3
181,55155.9
182,55625.1
183,56257.3
184,56784.8
185,57513.3
186,58224.1
187,58694.9
188,59344.6
