n,steps
1,3.0
2,6.0
3,10.0
4,15.0
5,21.0
6,28.0
7,36.0
8,45.0
9,55.0
10,66.0
11,78.0
12,91.0
13,105.0
14,120.0
15,136.0
16,153.0
17,171.0
18,190.0
19,210.0
20,231.0
21,253.0
22,276.0
23,300.0
24,325.0
25,351.0
26,378.0
27,406.0
28,435.0
29,465.0
30,496.0
31,528.0
32,561.0
33,595.0
34,630.0
35,666.0
36,703.0
37,741.0
38,780.0
39,820.0
40,861.0
41,903.0
42,946.0
43,990.0
44,1035.0
45,1081.0
46,1128.0
47,1176.0
48,1225.0
49,1275.0
50,1326.0
51,1378.0
52,1431.0
53,1485.0
54,1540.0
55,1596.0
56,1653.0
57,1711.0
58,1770.0
59,1830.0
60,1891.0
61,1953.0
62,2016.0
63,2080.0
64,2145.0
65,2211.0
66,2278.0
67,2346.0
68,2415.0
69,2485.0
70,2556.0
71,2628.0
72,2701.0
73,2775.0
74,2850.0
75,2926.0
76,3003.0
77,3081.0
78,3160.0
79,3240.0
80,3321.0
81,3403.0
82,3486.0
83,3570.0
84,3655.0
85,3741.0
86,3828.0
87,3916.0
88,4005.0
89,4095.0
90,4186.0
91,4278.0
92,4371.0
93,4465.0
94,4560.0
95,4656.0
96,4753.0
97,4851.0
98,4950.0
99,5050.0
100,5151.0
101,5253.0
102,5356.0
103,5460.0
104,5565.0
105,5671.0
106,5778.0
107,5886.0
108,5995.0
109,6105.0
110,6216.0
111,6328.0
112,6441.0
113,6555.0
114,6670.0
115,6786.0
116,6903.0
117,7021.0
118,7140.0
119,7260.0
120,7381.0
121,7503.0
122,7626.0
123,7750.0
124,7875.0
125,8001.0
126,8128.0
127,8256.0
128,8385.0
129,8515.0
130,8646.0
131,8778.0
132,8911.0
133,9045.0
134,9180.0
135,9316.0
136,9453.0
137,9591.0
138,9730.0
139,9870.0
140,10011.0
141,10153.0
142,10296.0
143,10440.0
144,10585.0
145,10731.0
146,10878.0
147,11026.0
148,11175.0
149,11325.0
150,11476.0
151,11628.0
152,11781.0
153,11935.0
154,12090.0
155,12246.0
156,12403.0
157,12561.0
158,12720.0
159,12880.0
160,13041.0
161,13203.0
162,13366.0
163,13530.0
164,13695.0
165,13861.0
166,14028.0
167,14196.0
168,14365.0
169,14535.0
170,14706.0
171,14878.0
172,15051.0
173,15225.0
174,15400.0
175,15576.0
176,15753.0
177,15931.0
178,16110.0
179,16290.0
180,16471.0
181,16653.0
182,16836.0
183,17020.0
184,17205.0
185,17391.0
186,17578.0
187,17766.0
188,17955.0
189,18145.0
190,18336.0
191,18528.0
192,18721.0
193,18915.0
194,19110.0
195,19306.0
196,19503.0
197,19701.0
198,19900.0
199,20100.0
200,20301.0
201,20503.0
202,20706.0
203,20910.0
204,21115.0
205,21321.0
206,21528.0
207,21736.0
208,21945.0
209,22155.0
210,22366.0
211,22578.0
212,22791.0
213,23005.0
214,23220.0
215,23436.0
216,23653.0
217,23871.0
218,24090.0
219,24310.0
220,24531.0
221,24753.0
222,24976.0
223,25200.0
224,25425.0
225,25651.0
226,25878.0
227,26106.0
228,26335.0
229,26565.0
230,26796.0
231,27028.0
232,27261.0
233,27495.0
234,27730.0
235,27966.0
236,28203.0
237,28441.0
238,28680.0
239,28920.0
240,29161.0
241,29403.0
242,29646.0
243,29890.0
244,30135.0
245,30381.0
246,30628.0
247,30876.0
248,31125.0
249,31375.0
250,31626.0
251,31878.0
252,32131.0
253,32385.0
254,32640.0
255,32896.0
256,33153.0
257,33411.0
258,33670.0
259,33930.0
260,34191.0
261,34453.0
262,34716.0
263,34980.0
264,35245.0
265,35511.0
266,35778.0
267,36046.0
268,36315.0
269,36585.0
270,36856.0
271,37128.0
272,37401.0
273,37675.0
274,37950.0
275,38226.0
276,38503.0
277,38781.0
278,39060.0
279,39340.0
280,39621.0
281,39903.0
282,40186.0
283,40470.0
284,40755.0
285,41041.0
286,41328.0
287,41616.0
288,41905.0
289,42195.0
290,42486.0
291,42778.0
292,43071.0
293,43365.0
294,43660.0
295,43956.0
296,44253.0
297,44551.0
298,44850.0
299,45150.0
300,45451.0
301,45753.0
302,46056.0
303,46360.0
304,46665.0
305,46971.0
306,47278.0
307,47586.0
308,47895.0
309,48205.0
310,48516.0
311,48828.0
312,49141.0
313,49455.0
314,49770.0
315,50086.0
316,50403.0
317,50721.0
318,51040.0
319,51360.0
320,51681.0
321,52003.0
322,52326.0
323,52650.0
324,52975.0
325,53301.0
326,53628.0
327,53956.0
328,54285.0
329,54615.0
330,54946.0
331,55278.0
332,55611.0
333,55945.0
334,56280.0
335,56616.0
336,56953.0
337,57291.0
338,57630.0
339,57970.0
340,58311.0
341,58653.0
342,58996.0
343,59340.0
344,59685.0
345,60031.0
346,60378.0
347,60726.0
348,61075.0
349,61425.0
350,61776.0
351,62128.0
352,62481.0
353,62835.0
354,63190.0
355,63546.0
356,63903.0
357,64261.0
358,64620.0
359,64980.0
360,65341.0
361,65703.0
362,66066.0
363,66430.0
364,66795.0
365,67161.0
366,67528.0
367,67896.0
368,68265.0
369,68635.0
370,69006.0
371,69378.0
372,69751.0
373,70125.0
374,70500.0
375,70876.0
376,71253.0
377,71631.0
378,72010.0
379,72390.0
380,72771.0
381,73153.0
382,73536.0
383,73920.0
384,74305.0
385,74691.0
386,75078.0
387,75466.0
388,75855.0
389,76245.0
390,76636.0
391,77028.0
392,77421.0
393,77815.0
394,78210.0
395,78606.0
396,79003.0
397,79401.0
398,79800.0
399,80200.0
400,80601.0
401,81003.0
402,81406.0
403,81810.0
404,82215.0
405,82621.0
406,83028.0
407,83436.0
408,83845.0
409,84255.0
410,84666.0
411,85078.0
412,85491.0
413,85905.0
414,86320.0
415,86736.0
416,87153.0
417,87571.0
418,87990.0
419,88410.0
420,88831.0
421,89253.0
422,89676.0
423,90100.0
424,90525.0
425,90951.0
426,91378.0
427,91806.0
428,92235.0
429,92665.0
430,93096.0
431,93528.0
432,93961.0
433,94395.0
434,94830.0
435,95266.0
436,95703.0
437,96141.0
438,96580.0
439,97020.0
440,97461.0
441,97903.0
442,98346.0
443,98790.0
444,99235.0
445,99681.0
446,100128.0
447,100576.0
448,101025.0
449,101475.0
450,101926.0
451,102378.0
452,102831.0
453,103285.0
454,103740.0
455,104196.0
456,104653.0
457,105111.0
458,105570.0
459,106030.0
460,106491.0
461,106953.0
462,107416.0
463,107880.0
464,108345.0
465,108811.0
466,109278.0
467,109746.0
468,110215.0
469,110685.0
470,111156.0
471,111628.0
472,112101.0
473,112575.0
474,113050.0
475,113526.0
476,114003.0
477,114481.0
478,114960.0
479,115440.0
480,115921.0
481,116403.0
482,116886.0
483,117370.0
484,117855.0
485,118341.0
486,118828.0
487,119316.0
488,119805.0
489,120295.0
490,120786.0
491,121278.0
492,121771.0
493,122265.0
494,122760.0
495,123256.0
496,123753.0
497,124251.0
498,124750.0
499,125250.0
500,125751.0
501,126253.0
502,126756.0
503,127260.0
504,127765.0
505,128271.0
506,128778.0
507,129286.0
508,129795.0
509,130305.0
510,130816.0
511,131328.0
512,131841.0
513,132355.0
514,132870.0
515,133386.0
516,133903.0
517,134421.0
518,134940.0
519,135460.0
520,135981.0
521,136503.0
522,137026.0
523,137550.0
524,138075.0
525,138601.0
526,139128.0
527,139656.0
528,140185.0
529,140715.0
530,141246.0
531,141778.0
532,142311.0
533,142845.0
534,143380.0
535,143916.0
536,144453.0
537,144991.0
538,145530.0
539,146070.0
540,146611.0
541,147153.0
542,147696.0
543,148240.0
544,148785.0
545,149331.0
546,149878.0
547,150426.0
548,150975.0
549,151525.0
550,152076.0
551,152628.0
552,153181.0
553,153735.0
554,154290.0
555,154846.0
556,155403.0
557,155961.0
558,156520.0
559,157080.0
560,157641.0
561,158203.0
562,158766.0
563,159330.0
564,159895.0
565,160461.0
566,161028.0
567,161596.0
568,162165.0
569,162735.0
570,163306.0
571,163878.0
572,164451.0
573,165025.0
574,165600.0
575,166176.0
576,166753.0
577,167331.0
578,167910.0
579,168490.0
580,169071.0
581,169653.0
582,170236.0
583,170820.0
584,171405.0
585,171991.0
586,172578.0
587,173166.0
588,173755.0
589,174345.0
590,174936.0
591,175528.0
592,176121.0
593,176715.0
594,177310.0
595,177906.0
596,178503.0
597,179101.0
