n,steps
1,18.0
2,42.0
3,42.0
4,100.0
5,100.0
6,210.0
7,210.0
8,424.0
9,424.0
10,854.0
11,854.0
12,1740.0
13,1740.0
14,3594.0
15,3594.0
16,7504.0
17,7504.0
18,15774.0
19,15774.0
20,33268.0
21,33268.0
22,70226.0
23,70226.0
24,148152.0
25,148152.0
26,312102.0
27,312102.0
28,656284.0
29,656284.0
30,1377306.0
31,1377306.0
32,2884768.0
33,2884768.0
34,6030638.0
35,6030638.0
36,1.2584388E7
37,1.2584388E7
38,2.6216034E7
39,2.6216034E7
40,5.4527752E7
41,5.4527752E7
42,1.13248182E8
43,1.13248182E8
44,2.3488318E8
45,2.3488318E8
46,4.8654161E8
47,4.8654161E8
48,1.006635504E9
49,1.006635504E9
50,2.080377534E9
